,CID,Last Name,First Last,Bioguide ID,Office,Party,First Elected,Birth Date,Website
264,N00033638,Horsford,Steven Horsford,H001066,NV04,D,2018,1973-04-29,http://horsford.house.gov
265,N00038734,Rosen,Jacky Rosen,R000608,NVS1,D,2018,1957-08-02,https://rosen.house.gov
266,N00037161,Masto,Catherine Cortez Masto,C001113,NVS2,D,2016,1964-03-29,https://www.cortezmasto.senate.gov
267,N00042161,Pappas,Chris Pappas,P000614,NH01,D,2018,1980-06-04,https://pappas.house.gov/
268,N00030875,Kuster,Ann Kuster,K000382,NH02,D,2012,1956-09-05,http://kuster.house.gov
269,N00038397,Hassan,Maggie Hassan,H001076,NHS1,D,2016,1958-02-27,https://www.hassan.senate.gov
270,N00024790,Shaheen,Jeanne Shaheen,S001181,NHS2,D,2008,1947-01-28,https://www.shaheen.senate.gov
271,N00036154,Norcross,Don Norcross,N000188,NJ01,D,2014,1958-12-13,https://norcross.house.gov
272,N00042164,Van Drew,Jeff Van Drew,V000133,NJ02,R,2018,1953-02-23,https://vandrew.house.gov/
273,N00041370,Kim,Andy Kim,K000394,NJ03,D,2018,1982-07-12,https://kim.house.gov/
274,N00009816,Smith,Chris Smith,S000522,NJ04,R,1980,1953-03-04,http://chrissmith.house.gov
275,N00036944,Gottheimer,Josh Gottheimer,G000583,NJ05,D,2016,1975-03-08,https://gottheimer.house.gov
276,N00000781,Pallone,Frank Pallone Jr.,P000034,NJ06,D,1988,1951-10-30,https://pallone.house.gov
277,N00041843,Malinowski,Tom Malinowski,M001203,NJ07,D,2018,1965-09-23,https://malinowski.house.gov/
278,N00027523,Sires,Albio Sires,S001165,NJ08,D,2006,1951-01-26,https://sires.house.gov
279,N00000751,Pascrell,Bill Pascrell Jr.,P000096,NJ09,D,1996,1937-01-25,http://pascrell.house.gov
280,N00034639,Payne,Donald M Payne Jr.,P000604,NJ10,D,2012,1958-12-17,http://payne.house.gov
281,N00041154,Sherrill,Mikie Sherrill,S001207,NJ11,D,2018,1972-01-19,https://sherrill.house.gov/
282,N00036158,Coleman,Bonnie Watson Coleman,W000822,NJ12,D,2014,1945-02-06,https://watsoncoleman.house.gov
283,N00000699,Menendez,Robert Menendez,M000639,NJS1,D,2006,1954-01-01,https://www.menendez.senate.gov
284,N00035267,Booker,Cory Booker,B001288,NJS2,D,2013,1969-04-27,https://www.booker.senate.gov
285,N00040933,Haaland,Debra Haaland,H001080,NM01,D,2018,1960-12-02,https://haaland.house.gov/
286,N00047871,Stansbury,Melanie Stansbury,,NM01,D,2021,,
287,N00041454,Herrell,Yvette Herrell,H001084,NM02,R,2020,03/16/64,https://herrell.house.gov/
288,N00044559,Fernandez,Teresa Leger Fernandez,L000273,NM03,D,2020,07/01/59,https://fernandez.house.gov/
289,N00029835,Heinrich,Martin Heinrich,H001046,NMS1,D,2012,1971-10-17,https://www.heinrich.senate.gov
290,N00029562,Lujan,Ben Ray Lujan,L000570,NMS2,D,2020,1972-06-07,https://lujan.house.gov
291,N00029404,Zeldin,Lee Zeldin,Z000017,NY01,R,2014,1980-01-30,https://zeldin.house.gov
292,N00046030,Garbarino,Andrew Garbarino,G000597,NY02,R,2020,09/27/84,https://garbarino.house.gov/
293,N00038742,Suozzi,Tom Suozzi,S001201,NY03,D,2016,1962-08-31,https://suozzi.house.gov
294,N00035927,Rice,Kathleen Rice,R000602,NY04,D,2014,1965-02-15,http://kathleenrice.house.gov
295,N00001171,Meeks,Gregory W Meeks,M001137,NY05,D,1998,1953-09-25,http://meeks.house.gov
296,N00034547,Meng,Grace Meng,M001188,NY06,D,2012,1975-10-01,http://meng.house.gov
297,N00001102,Velazquez,Nydia Velazquez,V000081,NY07,D,1992,1953-03-28,https://velazquez.house.gov
298,N00033640,Jeffries,Hakeem Jeffries,J000294,NY08,D,2012,1970-08-04,http://jeffries.house.gov
299,N00026961,Clarke,Yvette D Clarke,C001067,NY09,D,2006,1964-11-21,https://clarke.house.gov
300,N00000939,Nadler,Jerrold Nadler,N000002,NY10,D,1992,1947-06-13,http://nadler.house.gov
301,N00044040,Malliotakis,Nicole Malliotakis,M000317,NY11,R,2020,11/11/80,https://malliotakis.house.gov/
302,N00000078,Maloney,Carolyn B Maloney,M000087,NY12,D,1992,1946-02-19,http://maloney.house.gov
303,N00034549,Espaillat,Adriano Espaillat,E000297,NY13,D,2016,1954-09-27,https://espaillat.house.gov
304,N00041162,Ocasio-Cortez,Alexandria Ocasio-Cortez,O000172,NY14,D,2018,1989-10-13,https://ocasio-cortez.house.gov/
305,N00044346,Torres,Ritchie Torres,T000486,NY15,D,2020,03/12/88,https://ritchietorres.house.gov/
306,N00044790,Bowman,Jamaal Bowman,B001223,NY16,D,2020,04/01/76,https://bowman.house.gov/
307,N00044908,Jones,Mondaire Jones,J000306,NY17,D,2020,05/18/87,https://jones.house.gov/
308,N00034277,Maloney,Sean Patrick Maloney,M001185,NY18,D,2012,1966-07-30,http://seanmaloney.house.gov
309,N00040741,Delgado,Antonio Delgado,D000630,NY19,D,2018,1977-01-19,https://delgado.house.gov/
310,N00030196,Tonko,Paul Tonko,T000469,NY20,D,2008,1949-06-18,https://tonko.house.gov
311,N00035523,Stefanik,Elise Stefanik,S001196,NY21,R,2014,1984-07-02,https://stefanik.house.gov
312,N00036351,Tenney,Claudia Tenney,T000478,NY22,R,2020,1961-02-04,https://tenney.house.gov
313,N00030949,Reed,Tom Reed,R000585,NY23,R,2010,1971-11-18,https://reed.house.gov
314,N00035934,Katko,John Katko,K000386,NY24,R,2014,1962-11-09,https://katko.house.gov
315,N00043207,Morelle,Joseph D Morelle,M001206,NY25,D,2018,1957-04-29,https://morelle.house.gov
316,N00027060,Higgins,Brian M Higgins,H001038,NY26,D,2004,1959-10-06,http://higgins.house.gov
317,N00044575,Jacobs,Chris Jacobs,,NY27,R,2020,,
318,N00027658,Gillibrand,Kirsten Gillibrand,G000555,NYS1,D,2009,1966-12-09,https://www.gillibrand.senate.gov
319,N00001093,Schumer,Charles E Schumer,S000148,NYS2,D,1998,1950-11-23,https://www.schumer.senate.gov
320,N00027035,Butterfield,G K Butterfield,B001251,NC01,D,2004,1947-04-27,http://butterfield.house.gov
321,N00038565,Ross,Deborah Ross,R000305,NC02,D,2020,06/20/63,https://ross.house.gov/
322,N00044027,Murphy,Greg Murphy,,NC03,R,2019,,
323,N00002260,Price,David Price,P000523,NC04,D,1986,1940-08-17,https://price.house.gov
324,N00026166,Foxx,Virginia Foxx,F000450,NC05,R,2004,1943-06-29,http://foxx.house.gov
325,N00042159,Manning,Kathy Manning,M001135,NC06,D,2020,12/03/56,https://manning.house.gov/
326,N00033527,Rouzer,David Rouzer,R000603,NC07,R,2014,1972-02-16,https://rouzer.house.gov
327,N00033630,Hudson,Richard Hudson,H001067,NC08,R,2012,1971-11-04,https://hudson.house.gov
328,N00044335,Bishop,Dan Bishop,,NC09,R,2019,,
329,N00026627,Mchenry,Patrick McHenry,M001156,NC10,R,2004,1975-10-22,http://mchenry.house.gov
330,N00046252,Cawthorn,Madison Cawthorn,C001104,NC11,R,2020,08/01/95,https://cawthorn.house.gov/
331,N00035451,Adams,Alma Adams,A000370,NC12,D,2014,1946-05-27,http://adams.house.gov
332,N00039551,Budd,Ted Budd,B001305,NC13,R,2016,1971-10-21,https://budd.house.gov
333,N00035492,Tillis,Thom Tillis,T000476,NCS1,R,2014,1960-08-30,https://www.tillis.senate.gov/public
334,N00002221,Burr,Richard Burr,B001135,NCS2,R,2004,1955-11-30,https://www.burr.senate.gov
335,N00042868,Armstrong,Kelly Armstrong,A000377,ND01,R,2018,1976-10-08,https://armstrong.house.gov/
336,N00031688,Hoeven,John Hoeven,H001061,NDS1,R,2010,1957-03-13,https://www.hoeven.senate.gov
337,N00004614,Cramer,Kevin Cramer,C001096,NDS2,R,2018,1961-01-21,http://cramer.house.gov
338,N00003689,Chabot,Steve Chabot,C000266,OH01,R,2010,1953-01-22,http://chabot.house.gov
339,N00033310,Wenstrup,Brad Wenstrup,W000815,OH02,R,2012,1958-06-17,http://wenstrup.house.gov
340,N00033904,Beatty,Joyce Beatty,B001281,OH03,D,2012,1950-03-12,http://beatty.house.gov
341,N00027894,Jordan,Jim Jordan,J000289,OH04,R,2006,1964-02-17,http://jordan.house.gov
342,N00012233,Latta,Bob Latta,L000566,OH05,R,2007,1956-04-18,http://latta.house.gov
343,N00032088,Johnson,Bill Johnson,J000292,OH06,R,2010,1954-11-10,http://billjohnson.house.gov
344,N00031128,Gibbs,Bob Gibbs,G000563,OH07,R,2010,1954-06-14,https://gibbs.house.gov
345,N00038767,Davidson,Warren Davidson,D000626,OH08,R,2016,1970-03-01,https://davidson.house.gov
346,N00003522,Kaptur,Marcy Kaptur,K000009,OH09,D,1982,1946-06-17,https://kaptur.house.gov
347,N00025175,Turner,Michael R Turner,T000463,OH10,R,2002,1960-01-11,https://turner.house.gov
348,N00030490,Fudge,Marcia Fudge,F000455,OH11,D,2008,1952-10-29,https://fudge.house.gov
349,N00042194,Balderson,Troy Balderson,B001306,OH12,R,2018,1962-01-16,https://balderson.house.gov/
350,N00025280,Ryan,Tim Ryan,R000577,OH13,D,2002,1973-07-16,http://timryan.house.gov
351,N00035007,Joynce,David P Joyce,J000295,OH14,R,2012,1957-03-17,https://joyce.house.gov
352,N00029574,Stivers,Steve Stivers,S001187,OH15,R,2010,1965-03-24,http://stivers.house.gov
353,N00041690,Gonzalez,Anthony Gonzalez,G000588,OH16,R,2018,1984-09-19,https://anthonygonzalez.house.gov/
354,N00003535,Brown,Sherrod Brown,B000944,OHS1,D,2006,1952-11-09,https://www.brown.senate.gov
355,N00003682,Portman,Rob Portman,P000449,OHS2,R,2010,1955-12-19,https://www.portman.senate.gov
356,N00040829,Hern,Kevin Hern,H001082,OK01,R,2018,1961-12-04,https://hern.house.gov
357,N00033410,Mullin,Markwayne Mullin,M001190,OK02,R,2012,1977-07-26,https://mullin.house.gov
358,N00005559,Lucas,Frank D Lucas,L000491,OK03,R,1994,1960-01-06,http://lucas.house.gov
359,N00025726,Cole,Tom Cole,C001053,OK04,R,2002,1949-04-28,https://cole.house.gov
360,N00044579,Bice,Stephanie Bice,B000740,OK05,R,2020,11/11/73,https://bice.house.gov/
361,N00031129,Lankford,James Lankford,L000575,OKS1,R,2014,1968-03-04,https://www.lankford.senate.gov
362,N00005582,Inhofe,James M Inhofe,I000024,OKS2,R,1994,1934-11-17,https://www.inhofe.senate.gov
363,N00033474,Bonamici,Suzanne Bonamici,B001278,OR01,D,2012,1954-10-14,http://bonamici.house.gov
364,N00045773,Bentz,Cliff Bentz,B000668,OR02,R,2020,01/12/52,https://bentz.house.gov/
365,N00007727,Blumenauer,Earl Blumenauer,B000574,OR03,D,1996,1948-08-16,https://blumenauer.house.gov
366,N00007781,Defazio,Peter DeFazio,D000191,OR04,D,1986,1947-05-27,http://defazio.house.gov
367,N00030071,Schrader,Kurt Schrader,S001180,OR05,D,2008,1951-10-19,http://schrader.house.gov
368,N00029303,Merkley,Jeff Merkley,M001176,ORS1,D,2008,1956-10-24,https://www.merkley.senate.gov
369,N00007724,Wyden,Ron Wyden,W000779,ORS2,D,1996,1949-05-03,https://www.wyden.senate.gov
370,N00038779,Fitzpatrick,Brian Fitzpatrick,F000466,PA01,R,2016,1973-12-17,https://brianfitzpatrick.house.gov
371,N00035307,Boyle,Brendan Boyle,B001296,PA02,D,2014,1977-02-06,https://boyle.house.gov
372,N00038450,Evans,Dwight Evans,E000296,PA03,D,2016,1954-05-16,https://evans.house.gov
373,N00042894,Dean,Madeleine Dean,D000631,PA04,D,2018,1959-06-06,https://dean.house.gov/
374,N00042706,Scanlon,Mary Gay Scanlon,S001205,PA05,D,2018,1959-08-30,https://scanlon.house.gov
375,N00040949,Houlahan,Chrissy Houlahan,H001085,PA06,D,2018,1967-06-05,https://houlahan.house.gov/
376,N00041997,Wild,Susan Wild,W000826,PA07,D,2018,1957-06-07,https://wild.house.gov
377,N00034128,Cartwright,Matt Cartwright,C001090,PA08,D,2012,1961-05-01,http://cartwright.house.gov
378,N00029416,Meuser,Dan Meuser,M001204,PA09,R,2018,1964-02-10,https://meuser.house.gov/
379,N00034120,Perry,Scott Perry,P000605,PA10,R,2012,1962-05-27,http://perry.house.gov
380,N00038781,Smucker,Lloyd Smucker,S001199,PA11,R,2016,1964-01-23,https://smucker.house.gov
381,N00044065,Keller,Fred Keller,,PA12,R,2019,,
382,N00043242,Joyce,John Joyce,J000302,PA13,R,2018,1957-02-08,https://johnjoyce.house.gov/
383,N00041871,Reschenthaler,Guy Reschenthaler,R000610,PA14,R,2018,1983-04-17,https://reschenthaler.house.gov/
384,N00029736,Thompson,Glenn Thompson,T000467,PA15,R,2008,1959-07-27,http://thompson.house.gov
385,N00031647,Kelly,Mike Kelly,K000376,PA16,R,2010,1948-05-10,http://kelly.house.gov
386,N00041870,Lamb,Conor Lamb,L000588,PA17,D,2018,1984-06-27,https://lamb.house.gov/
387,N00001373,Doyle,Mike Doyle,D000482,PA18,D,1994,1953-08-05,http://doyle.house.gov
388,N00001489,Toomey,Pat Toomey,T000461,PAS1,R,2010,1961-11-17,https://www.toomey.senate.gov
389,N00027503,Casey,Bob Casey,C001070,PAS2,D,2006,1960-04-13,https://www.casey.senate.gov
390,N00032019,Cicilline,David Cicilline,C001084,RI01,D,2010,1961-07-15,http://cicilline.house.gov
391,N00009724,Langevin,Jim Langevin,L000559,RI02,D,2000,1964-04-22,http://langevin.house.gov
392,N00027533,Whitehouse,Sheldon Whitehouse,W000802,RIS1,D,2006,1955-10-20,https://www.whitehouse.senate.gov
393,N00000362,Reed,Jack Reed,R000122,RIS2,D,1996,1949-11-12,https://www.reed.senate.gov
394,N00035670,Mace,Nancy Mace,M000194,SC01,R,2020,12/04/77,https://mace.house.gov/
395,N00024809,Wilson,Joe Wilson,W000795,SC02,R,2001,1947-07-31,http://joewilson.house.gov
396,N00030752,Duncan,Jeff Duncan,D000615,SC03,R,2010,1966-01-07,http://jeffduncan.house.gov
397,N00042715,Timmons,William Timmons,T000480,SC04,R,2018,1984-04-30,https://timmons.house.gov/
398,N00027783,Norman,Ralph Norman,N000190,SC05,R,2017,1953-06-20,https://norman.house.gov
399,N00002408,Clyburn,James E Clyburn,C000537,SC06,D,1992,1940-07-21,http://clyburn.house.gov
400,N00033832,Rice,Tom Rice,R000597,SC07,R,2012,1957-08-04,http://rice.house.gov
401,N00031782,Scott,Tim Scott,S001184,SCS1,R,2013,1965-09-19,https://www.scott.senate.gov
402,N00009975,Graham,Lindsey Graham,G000359,SCS2,R,2002,1955-07-09,https://www.lgraham.senate.gov/public
403,N00040559,Johnson,Dusty Johnson,J000301,SD01,R,2018,1976-09-30,https://dustyjohnson.house.gov/
404,N00004572,Thune,John Thune,T000250,SDS1,R,2004,1961-01-07,https://www.thune.senate.gov
405,N00035187,Rounds,Mike Rounds,R000605,SDS2,R,2014,1954-10-24,https://www.rounds.senate.gov
406,N00046688,Harshbarger,Diana Harshbarger,H001086,TN01,R,2020,,https://harshbarger.house.gov/
407,N00041594,Burchett,Tim Burchett,B001309,TN02,R,2018,1964-08-25,https://burchett.house.gov/
408,N00030815,Fleischmann,Chuck Fleischmann,F000459,TN03,R,2010,1962-10-11,http://fleischmann.house.gov
409,N00030957,Desjarlais,Scott Desjarlais,D000616,TN04,R,2010,1964-02-21,https://desjarlais.house.gov
410,N00003132,Cooper,Jim Cooper,C000754,TN05,D,2002,1954-06-19,http://cooper.house.gov
411,N00041599,Rose,John Rose,R000612,TN06,R,2018,1965-02-23,https://johnrose.house.gov/
412,N00041873,Green,Mark Green,G000590,TN07,R,2018,1964-11-08,https://markgreen.house.gov
413,N00025445,Kustoff,David Kustoff,K000392,TN08,R,2016,1966-10-08,https://kustoff.house.gov
414,N00003225,Cohen,Steve Cohen,C001068,TN09,D,2006,1949-05-24,https://cohen.house.gov
415,N00003105,Blackburn,Marsha Blackburn,B001243,TNS1,R,2018,1952-06-06,http://blackburn.house.gov
416,N00045369,Hagerty,Bill Hagerty,H000601,TNS2,R,2020,08/14/59,https://www.hagerty.senate.gov/
417,N00026148,Gohmert,Louis B Gohmert Jr.,G000552,TX01,R,2004,1953-08-18,https://gohmert.house.gov
418,N00042224,Crenshaw,Dan Crenshaw,C001120,TX02,R,2018,1984-03-14,https://crenshaw.house.gov/
419,N00027709,Taylor,Van Taylor,T000479,TX03,R,2018,1972-08-01,https://vantaylor.house.gov/
420,N00047264,Fallon,Patrick Fallon,F000246,TX04,R,2020,12/19/67,https://fallon.house.gov/
421,N00042237,Gooden,Lance Gooden,G000589,TX05,R,2018,1982-12-01,https://gooden.house.gov/
422,N00042240,Wright,Ron Wright,W000827,TX06,R,2018,1953-04-08,https://wright.house.gov/
423,N00042243,Ellzey,Jake Ellzey,,TX06,R,2021,,
424,N00041194,Fletcher,Lizzie Fletcher,F000468,TX07,D,2018,1975-02-13,https://fletcher.house.gov/
425,N00005883,Brady,Kevin Brady,B000755,TX08,R,1996,1955-04-11,http://kevinbrady.house.gov
426,N00026686,Green,Al Green,G000553,TX09,D,2004,1947-09-01,http://algreen.house.gov
427,N00026460,Mccaul,Michael McCaul,M001157,TX10,R,2004,1962-01-14,http://mccaul.house.gov
428,N00045421,Pfluger,August Pfluger,P000048,TX11,R,2020,,https://pfluger.house.gov/
429,N00008799,Granger,Kay Granger,G000377,TX12,R,1996,1943-01-18,http://kaygranger.house.gov
430,N00046055,Jackson,Ronny Jackson,J000304,TX13,R,2020,05/04/67,https://jackson.house.gov/
431,N00033539,Weber,Randy Weber,W000814,TX14,R,2012,1953-07-02,http://weber.house.gov
432,N00038809,Gonzalez,Vicente Gonzalez,G000581,TX15,D,2016,1967-09-04,https://gonzalez.house.gov
433,N00041702,Escobar,Veronica Escobar,E000299,TX16,D,2018,1969-09-15,https://escobar.house.gov/
434,N00005681,Sessions,Pete Sessions,S000250,TX17,R,1996,1955-03-22,https://sessions.house.gov
435,N00005818,Jackson Lee,Sheila Jackson Lee,J000032,TX18,D,1994,1950-01-12,http://jacksonlee.house.gov
436,N00038285,Arrington,Jodey Arrington,A000375,TX19,R,2016,1972-03-09,https://arrington.house.gov
437,N00033316,Castro,Joaquin Castro,C001091,TX20,D,2012,1974-09-16,https://castro.house.gov
438,N00042268,Roy,Chip Roy,R000614,TX21,R,2018,1972-08-07,https://roy.house.gov/
439,N00046067,Nehls,Troy Nehls,N000026,TX22,R,2020,04/07/68,https://nehls.house.gov/
440,N00044592,Gonzales,Tony Gonzales,G000594,TX23,R,2020,10/10/80,https://gonzales.house.gov/
441,N00045167,Van Duyne,Beth Van Duyne,V000134,TX24,R,2020,11/16/70,https://vanduyne.house.gov/
442,N00030602,Williams,Roger Williams,W000816,TX25,R,2012,1949-09-13,http://williams.house.gov
443,N00025219,Burgess,Michael Burgess,B001248,TX26,R,2002,1950-12-23,http://burgess.house.gov
444,N00041882,Cloud,Michael Cloud,C001115,TX27,R,2018,1975-05-13,https://cloud.house.gov/
445,N00024978,Cuellar,Henry Cuellar,C001063,TX28,D,2004,1955-09-19,http://cuellar.house.gov
446,N00042282,Garcia,Sylvia Garcia,G000587,TX29,D,2018,1950-09-06,https://sylviagarcia.house.gov/
447,N00008122,Johnson,Eddie Bernice Johnson,J000126,TX30,D,1992,1935-12-03,http://ebjohnson.house.gov
448,N00025095,Carter,John Carter,C001051,TX31,R,2002,1941-11-06,https://carter.house.gov
449,N00040989,Allred,Colin Allred,A000376,TX32,D,2018,1983-04-15,https://allred.house.gov/
450,N00033839,Veasey,Marc Veasey,V000131,TX33,D,2012,1971-01-03,http://veasey.house.gov
451,N00034349,Vela,Filemon Vela,V000132,TX34,D,2012,1963-02-13,https://vela.house.gov
452,N00006023,Doggett,Lloyd Doggett,D000399,TX35,D,1994,1946-10-06,https://doggett.house.gov
453,N00005736,Babin,Brian Babin,B001291,TX36,R,2014,1948-03-23,http://babin.house.gov
454,N00024852,Cornyn,John Cornyn,C001056,TXS1,R,2002,1952-02-02,https://www.cornyn.senate.gov
455,N00033085,Cruz,Ted Cruz,C001098,TXS2,R,2012,1970-12-22,https://www.cruz.senate.gov
456,N00046598,Moore,Blake Moore,M001213,UT01,R,2020,06/22/80,https://blakemoore.house.gov/
457,N00033932,Stewart,Chris Stewart,S001192,UT02,R,2012,1960-07-15,http://stewart.house.gov
458,N00041221,Curtis,John Curtis,C001114,UT03,R,2017,1960-05-10,https://curtis.house.gov
459,N00045812,Owens,Burgess Owens,O000086,UT04,R,2020,08/02/51,https://owens.house.gov/
460,N00000286,Romney,Mitt Romney,R000615,UTS1,R,2018,1947-03-12,https://www.romney.senate.gov
461,N00031696,Lee,Mike Lee,L000577,UTS2,R,2010,1971-06-04,https://www.lee.senate.gov/public
462,N00000515,Welch,Peter Welch,W000800,VT01,D,2006,1947-05-02,https://welch.house.gov
463,N00000528,Sanders,Bernie Sanders,S000033,VTS1,I,2006,1941-09-08,https://www.sanders.senate.gov
464,N00009918,Leahy,Patrick Leahy,L000174,VTS2,D,1974,1940-03-31,https://www.leahy.senate.gov
465,N00029459,Wittman,Rob Wittman,W000804,VA01,R,2007,1959-02-03,http://wittman.house.gov
466,N00042293,Luria,Elaine Luria,L000591,VA02,D,2018,1975-08-15,https://luria.house.gov/
467,N00002147,Scott,Bobby Scott,S000185,VA03,D,1992,1947-04-30,http://bobbyscott.house.gov
468,N00039327,Mceachin,Donald McEachin,M001200,VA04,D,2016,1961-10-10,https://mceachin.house.gov
469,N00045557,Good,Bob Good,456853,VA05,R,2020,09/11/65,https://good.house.gov/
470,N00042296,Cline,Ben Cline,C001118,VA06,R,2018,1972-02-29,https://cline.house.gov/
471,N00041418,Spanberger,Abigail Spanberger,S001209,VA07,D,2018,1979-08-07,https://spanberger.house.gov/
472,N00036018,Beyer,Don Beyer,B001292,VA08,D,2014,1950-06-20,http://beyer.house.gov
473,N00032029,Griffith,Morgan Griffith,G000568,VA09,R,2010,1958-03-15,http://morgangriffith.house.gov
474,N00041002,Wexton,Jennifer Wexton,W000825,VA10,D,2018,1968-05-27,https://wexton.house.gov/
475,N00029891,Connolly,Gerry Connolly,C001078,VA11,D,2008,1950-03-30,https://connolly.house.gov
476,N00033177,Kaine,Tim Kaine,K000384,VAS1,D,2012,1958-02-26,https://www.kaine.senate.gov
477,N00002097,Warner,Mark Warner,W000805,VAS2,D,2008,1954-12-15,https://www.warner.senate.gov
478,N00030693,Delbene,Suzan DelBene,D000617,WA01,D,2012,1962-02-17,https://delbene.house.gov
479,N00009759,Larsen,Rick Larsen,L000560,WA02,D,2000,1965-06-15,http://larsen.house.gov
480,N00031559,Beutler,Jaime Herrera Beutler,H001056,WA03,R,2010,1978-11-03,http://herrerabeutler.house.gov
481,N00036403,Newhouse,Dan Newhouse,N000189,WA04,R,2014,1955-07-10,https://newhouse.house.gov
482,N00026314,Rodgers,Cathy McMorris Rodgers,M001159,WA05,R,2004,1969-05-22,http://mcmorris.house.gov
483,N00034453,Kilmer,Derek Kilmer,K000381,WA06,D,2012,1974-01-01,https://kilmer.house.gov
484,N00038858,Jayapal,Pramila Jayapal,J000298,WA07,D,2016,1965-09-21,https://jayapal.house.gov
485,N00041606,Schrier,Kim Schrier,S001216,WA08,D,2018,1968-08-23,https://schrier.house.gov/
486,N00007833,Smith,Adam Smith,S000510,WA09,D,1996,1965-06-15,https://adamsmith.house.gov
487,N00046320,Strickland,Marilyn Strickland,S001159,WA10,D,2020,09/25/62,https://strickland.house.gov/
488,N00007836,Cantwell,Maria Cantwell,C000127,WAS1,D,2000,1958-10-13,https://www.cantwell.senate.gov
489,N00007876,Murray,Patty Murray,M001111,WAS2,D,1992,1950-10-11,https://www.murray.senate.gov/public
490,N00031681,Mckinley,David McKinley,M001180,WV01,R,2010,1947-03-28,https://mckinley.house.gov
491,N00033814,Mooney,Alex Mooney,M001195,WV02,R,2014,1971-06-05,https://mooney.house.gov
492,N00041542,Miller,Carol Miller,M001205,WV03,R,2018,1950-11-04,https://miller.house.gov/
493,N00032838,Manchin,Joe Manchin,M001183,WVS1,D,2010,1947-08-24,https://www.manchin.senate.gov/public
494,N00009771,Capito,Shelley Moore Capito,C001047,WVS2,R,2014,1953-11-26,https://www.capito.senate.gov
495,N00043379,Steil,Bryan Steil,S001213,WI01,R,2018,1981-03-30,https://steil.house.gov/
496,N00033549,Pocan,Mark Pocan,P000607,WI02,D,2012,1964-08-14,http://pocan.house.gov
497,N00004403,Kind,Ron Kind,K000188,WI03,D,1996,1963-03-16,https://kind.house.gov
498,N00026914,Moore,Gwen Moore,M001160,WI04,D,2004,1951-04-18,https://gwenmoore.house.gov
499,N00045434,Fitzgerald,Scott Fitzgerald,F000471,WI05,R,2020,11/16/63,https://fitzgerald.house.gov/
500,N00036409,Grothman,Glenn S Grothman,G000576,WI06,R,2014,1955-07-03,http://grothman.house.gov
501,N00045307,Tiffany,Tom Tiffany,,WI07,R,2020,,
502,N00039330,Gallagher,Mike Gallagher,G000579,WI08,R,2016,1984-03-03,https://gallagher.house.gov
503,N00004367,Baldwin,Tammy Baldwin,B001230,WIS1,D,2012,1962-02-11,https://www.baldwin.senate.gov
504,N00032546,Johnson,Ron Johnson,J000293,WIS2,R,2010,1955-04-08,https://www.ronjohnson.senate.gov
505,N00035504,Cheney,Liz Cheney,C001109,WY01,R,2016,1966-07-28,https://cheney.house.gov
506,N00006236,Barrasso,John A Barrasso,B001261,WYS1,R,2007,1952-07-21,https://www.barrasso.senate.gov
507,N00029788,Lummis,Cynthia Lummis,L000571,WYS2,R,2020,1954-09-10,http://lummis.house.gov
